اسم المدير,رقم الجوال
محل غسان كتانه للاعلاف,970522613545
محل فاتح للالمنيوم,970599583411
محل فادي للألمنيوم,970592296529
محل فادي هرشه للمفروشات,970568623879
محل فرج الله للخضار والفواكه,970597175503
محل فضل للادوات الكهربائية,970569266770
محل قاسم للخضار والفواكه,970597945589
محل قاشان للاعمال الفنية,970593012334
محل قصي للتمديدات الكهربائية,970597516415
محل كاسترو للملابس,970597200040
محل كايد غنايم لقطع السيارات المستعملة,970597574665
محل كتانة لمواد البناء والدهان,970599436595
محل كتانه لبيع لوازم البلفونات والاكسسوارات,970598072034
محل كتانه للاعلاف,970598528602
محل كتانه للاعلاف,970566260280
محل كسرى للاجهزه الخلويه,970598568878
محل لافي للادوات المستعملة,970599151900
محل ماهر عساف للادوات الكهربائية,970598207393
محل مجادبه للاثاث المستعمل,970598240714
محل مجدي ابوشيخه للدهانات ومواد البناء,970599757594
محل محمد العلي للالمنيوم,970599363299
محل محمد خطاب لقطع البواجر والهيدروليك,970599592318
محل محمد دويكات للدوات المستعملة,970597296395
محل محمد سليمان للمواد الغذائية,970599974492
محل محمد عدنان للمواد التموينية,970598164627
محل محمد واحمد للخضار والفواكه,970596879707
محل محمود فياض للمناهل الصحية,970598048926
محل مروان للراديو والتلفزيون,970598516595
محل معتز جمعة للملابس الجاهزة,970599114254
محل معزوز للاخشاب,970592959243
محل ملك الستائر,970599335660
محل نبأ لتأجير الكراسي والطاولات,970568454977
محل نبيل للادوات المستعملة,970568910924
محل نصر للمواد التموينيه,970598237248
محل نضال العنبري لبيع الخضار و الفواكه,970597175532
محل نهر للازياء,970599757477
محل نهيد اسعد لبيع واصلاح اطارات السيارات,970507619588
محل ياسر ومفيد للمواد التموينيه,970597347489
محل ياسين للاخشاب ( الطوبار),970595056941
محل يوسف لدهان وتجليس السيارات,970597421321
محلات ابو يزن للمواد الغذائية,970598500415
محلات ابوسعده للحديد,970598157748
محلات الأخوة للتجارة العامة,97056940221
محلات الجلاد للخضار والفواكه,970598488530
محلات الحته لقطع غيار السيارات,970599757174
محلات الخليل لمواد البناء,970598504909
محلات الرائد للادوات المنزلية,970599074749
محلات السهل الاخضر للخضار والفواكه,970599825662
محلات الشوبكي للمواد التموينية,970598589000
محلات العموري لبيع قطع الشاحنات,970599495656
محلات الكرم للادوات المنزلية,970598250973
محلات المبروك للملابس الجاهزة,970597300099
محلات المجد للوازم الحدادين,970568679002
محلات النور للادوات الصحيه,970599592321
محلات جرعاني للاجهزه الكهربائيه,970568397738
محلات جعاعره للمواد الغذائية والخضار والفواكه,970506826363
محلات حكمت خطاب للهيدروليك,970591371797
محلات عتيل لمواد البناء والمواد الصحية,970597247137
محلات علار للخضار والفواكه,970522920020
محلات عناية للالعاب والادوات المنزلية,970592571502
محلات لافي للادوات المستعملة,970595668863
محلات هيثم عودة للمواد التموينية,970599326463
محلات يوسف مرعي لمواد البناء,970598255436
محمد بدوي للخضار والاطعمة,970599799529
محمد سعيد لقطع غيار البواجر,970598747819
محمص الحسن,970569830136
محمود اعمير للدهانات والديكور,970597590375
محميات ابو حفيظة لانتاج الخضار,970598178924
محميات ابو وائل لزراعة الخضار,970568319070
محميات عبد السلام للخضار,970599075469
محميات لينا لانتاج الخضار,970522889621
محميات محمد للخضار,970599396729
محميات وائل لانتاج الخضار,970599118272
مخبز الاخلاص,970598736033
مخبز البلد,970599971477
مخبز الشعلة,970598610271
مخبز حيفا,970598167273
مخبز عمر,970599074805
مخبز نور شمس الحديث,970599778672
مختبر اسيا,970599206518
مختبر الابتسامة الجميلة,970599707225
مخرطة الشعراوية,970598344673
مرعي الكتروميكانيكا,970598492868
مركز الارقم للتسوق,970592226880
مركز الاصمعي الثقافي,970599648660
مركز الدواجن لبيع اللحوم,970599373664
مركز الشحروري للحاسوب,970599888896
مركز القطنيات,970599872093
مركز سعاده للدعاية والاعلان,970599366240
مركز عالم النظارات,970597595916
مركز وصالون الجامعة,970599821635
مركزالعياط للملابس,970599585207
مزارع ابو شعيره للخضار,970598228932
مزارع ابو غالية للدواجن,970568406042
مزارع البدو للخضار,970599298859
مزارع البدوي للدواجن والخضار,970599557136
مزارع الرائد للخضار,970598254575
مزارع الرائد للخضار والفواكه,970568055136
مزارع السعيد للأغنام,970599821560
مزارع الغول لانتاج الخضار,970599734383
مزارع بركات للخضار,970599282149
مزارع خالد الزامل للخضار,970598438429
مزارع رامي للخضار,970599963800
مزارع رسلان للخضار,970595115993
مزارع شكيب للدواجن,970569166201
